x;2012;2013
Total;12133 ;12896 
Ministerio de Educaci\'on;9342 ;10003 
Universidad de San Carlos;1568 ;1627 
Instituto T\'ecnico de Capacitaci\'on y Productividad;230 ;256 
Obligaciones del Estado a cargo del Tesoro;279 ;189 
Comit\'e Nacional de Alfabetizaci\'on;129 ;188 
Ministerio de la Defensa Nacional;159 ;182 
Ministerio de Salud P\'ublica y Asistencia Social;178 ;154 
Ministerio de Gobernaci\'on;60 ;129 
Escuela Nacional Central de Agricultura;33 ;46 
Resto de entidades;155;122
